city,hour,time,temp,feelLikeTemp,curWeatherCondition,windSpeed,humidity,chanceOfPrecip,aqi
Beijing,0.0,2022-11-26 00:00,37.2,27.3,Clear,17.9,13,0,3
Beijing,1.0,2022-11-26 01:00,36.0,26.1,Clear,17.0,15,0,2
Beijing,2.0,2022-11-26 02:00,34.9,25.0,Clear,15.7,16,0,2
Beijing,3.0,2022-11-26 03:00,33.8,24.3,Clear,14.1,17,0,2
Beijing,4.0,2022-11-26 04:00,33.3,24.1,Clear,12.8,18,0,2
Beijing,5.0,2022-11-26 05:00,32.5,23.7,Clear,11.4,18,0,2
Beijing,6.0,2022-11-26 06:00,31.8,23.4,Clear,10.3,19,0,2
Beijing,7.0,2022-11-26 07:00,31.3,23.5,Clear,8.5,20,0,2
Beijing,8.0,2022-11-26 08:00,31.5,25.2,Cloudy,6.5,22,0,2
Beijing,9.0,2022-11-26 09:00,32.7,27.0,Partly cloudy,6.0,20,0,3
Beijing,10.0,2022-11-26 10:00,34.2,29.7,Partly cloudy,4.9,18,0,3
Beijing,11.0,2022-11-26 11:00,36.1,33.3,Partly cloudy,3.6,16,0,3
Beijing,12.0,2022-11-26 12:00,38.5,36.5,Sunny,3.1,15,0,1
Beijing,13.0,2022-11-26 13:00,41.2,37.4,Sunny,5.6,15,0,1
Beijing,14.0,2022-11-26 14:00,40.8,36.0,Sunny,7.4,16,0,1
Beijing,15.0,2022-11-26 15:00,41.0,35.8,Sunny,7.8,17,0,2
Beijing,16.0,2022-11-26 16:00,39.4,33.8,Sunny,8.1,18,0,2
Beijing,17.0,2022-11-26 17:00,39.7,34.9,Clear,6.7,21,0,3
Beijing,18.0,2022-11-26 18:00,36.1,30.6,Partly cloudy,6.9,23,0,3
Beijing,19.0,2022-11-26 19:00,36.7,30.9,Clear,7.4,24,0,3
Beijing,20.0,2022-11-26 20:00,34.0,27.1,Clear,8.3,25,0,3
Beijing,21.0,2022-11-26 21:00,33.4,26.2,Partly cloudy,8.5,27,0,3
Beijing,22.0,2022-11-26 22:00,32.9,26.1,Clear,7.8,31,0,3
Beijing,23.0,2022-11-26 23:00,32.4,26.1,Clear,6.7,35,0,3
Atlanta,0.0,2022-11-25 00:00,49.8,46.9,Overcast,7.2,85,0,2
Atlanta,1.0,2022-11-25 01:00,50.0,46.2,Overcast,5.1,84,0,1
Atlanta,2.0,2022-11-25 02:00,50.0,46.9,Overcast,5.6,86,0,1
Atlanta,3.0,2022-11-25 03:00,49.5,46.8,Overcast,7.4,89,0,1
Atlanta,4.0,2022-11-25 04:00,49.3,48.0,Overcast,6.0,92,0,1
Atlanta,5.0,2022-11-25 05:00,52.0,49.8,Overcast,6.3,92,0,1
Atlanta,6.0,2022-11-25 06:00,50.9,48.0,Mist,5.8,96,0,1
Atlanta,7.0,2022-11-25 07:00,50.4,47.5,Mist,3.6,96,0,1
Atlanta,8.0,2022-11-25 08:00,50.5,47.8,Moderate rain,4.5,96,74,1
Atlanta,9.0,2022-11-25 09:00,51.1,48.6,Mist,3.4,96,0,1
Atlanta,10.0,2022-11-25 10:00,52.5,50.2,Overcast,1.6,92,0,1
Atlanta,11.0,2022-11-25 11:00,52.2,50.2,Overcast,5.8,91,0,1
Atlanta,12.0,2022-11-25 12:00,53.1,51.6,Overcast,5.8,90,0,1
Atlanta,13.0,2022-11-25 13:00,54.3,53.2,Overcast,3.4,88,0,1
Atlanta,14.0,2022-11-25 14:00,55.9,55.6,Overcast,4.5,86,0,1
Atlanta,15.0,2022-11-25 15:00,57.7,57.7,Overcast,3.6,84,0,1
Atlanta,16.0,2022-11-25 16:00,58.1,57.9,Overcast,7.2,85,0,1
Atlanta,17.0,2022-11-25 17:00,59.7,59.7,Overcast,7.6,82,0,1
Atlanta,18.0,2022-11-25 18:00,59.5,59.5,Overcast,7.6,82,0,1
Atlanta,19.0,2022-11-25 19:00,58.8,58.1,Overcast,6.7,84,0,1
Atlanta,20.0,2022-11-25 20:00,57.9,56.7,Overcast,6.9,84,0,1
Atlanta,21.0,2022-11-25 21:00,57.4,56.1,Overcast,6.0,83,0,1
Atlanta,22.0,2022-11-25 22:00,56.7,55.6,Cloudy,4.9,83,0,1
Atlanta,23.0,2022-11-25 23:00,55.9,54.9,Partly cloudy,4.3,83,0,1
London,0.0,2022-11-25 00:00,49.1,44.1,Clear,12.5,77,0,1
London,1.0,2022-11-25 01:00,48.7,43.5,Partly cloudy,12.8,80,0,1
London,2.0,2022-11-25 02:00,48.4,43.3,Cloudy,12.3,82,0,1
London,3.0,2022-11-25 03:00,48.2,43.5,Cloudy,10.7,83,0,1
London,4.0,2022-11-25 04:00,47.5,42.8,Partly cloudy,10.3,85,0,1
London,5.0,2022-11-25 05:00,46.9,42.3,Cloudy,10.1,85,0,1
London,6.0,2022-11-25 06:00,47.5,43.2,Partly cloudy,9.4,82,0,1
London,7.0,2022-11-25 07:00,47.3,43.0,Clear,9.2,82,0,1
London,8.0,2022-11-25 08:00,46.6,42.8,Sunny,7.6,87,0,1
London,9.0,2022-11-25 09:00,46.9,43.3,Sunny,7.4,86,0,1
London,10.0,2022-11-25 10:00,48.6,45.1,Sunny,7.6,82,0,1
London,11.0,2022-11-25 11:00,51.6,48.9,Sunny,7.6,77,0,1
London,12.0,2022-11-25 12:00,54.1,51.8,Sunny,7.8,73,0,1
London,13.0,2022-11-25 13:00,53.2,50.4,Sunny,8.7,71,0,1
London,14.0,2022-11-25 14:00,52.9,50.0,Sunny,8.7,71,0,1
London,15.0,2022-11-25 15:00,51.8,48.9,Sunny,8.1,75,0,1
London,16.0,2022-11-25 16:00,51.1,48.2,Clear,7.6,81,0,1
London,17.0,2022-11-25 17:00,50.4,47.3,Clear,7.6,84,0,1
London,18.0,2022-11-25 18:00,49.8,46.8,Clear,7.6,85,0,1
London,19.0,2022-11-25 19:00,49.3,46.4,Clear,6.9,86,0,1
London,20.0,2022-11-25 20:00,47.8,44.4,Clear,7.2,86,0,1
London,21.0,2022-11-25 21:00,47.5,44.4,Partly cloudy,6.3,87,0,1
London,22.0,2022-11-25 22:00,46.9,44.1,Cloudy,5.8,89,0,1
London,23.0,2022-11-25 23:00,46.6,43.9,Overcast,5.6,90,0,1
